day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,trades,ret_5,ret_10,ret_20,ret_100,ret_200,alpha_buy_diff,alpha_sell_diff
0,0,AMETHYSTS,9998.0,1.0,9995.0,30.0,,,10005.0,30.0,,,,,10001.5,0.0,[],0.0001499775033744,-0.0001499775033744,-0.0002499625056241,-4.999250112483127e-05,-0.0002499625056241,3999.2000000000003,120060.0
0,100,AMETHYSTS,9996.0,1.0,9995.0,30.0,,,10002.0,6.0,10004.0,1.0,10005.0,30.0,9999.0,0.0,"[('10002.0', '1')]",0.0,0.0001000100010001,0.0001000100010001,0.0001000100010001,0.0002000200020002,2398.72,-24019.20000000001
0,200,AMETHYSTS,9996.0,1.0,9995.0,21.0,,,10004.0,1.0,10005.0,21.0,,,10000.0,0.0,[],0.00015,0.0001,0.0,0.0,0.0,1439.2319999999997,-34414.72000000001
0,300,AMETHYSTS,9996.0,2.0,9995.0,23.0,,,9998.0,3.0,10004.0,2.0,10005.0,23.0,9997.0,0.0,"[('9998.0', '2'), ('9998.0', '1')]",0.0003000900270081,0.0003000900270081,0.0003000900270081,0.0003000900270081,0.0003000900270081,4861.9392,-12652.832000000006
0,400,AMETHYSTS,9998.0,5.0,9996.0,2.0,9995.0,23.0,10004.0,2.0,10005.0,23.0,,,10001.0,0.0,[],-9.999000099990002e-05,-9.999000099990002e-05,0.0,-9.999000099990002e-05,-9.999000099990002e-05,14916.36352,-11586.099200000002
0,500,AMETHYSTS,10002.0,1.0,9996.0,2.0,9995.0,22.0,10004.0,2.0,10005.0,22.0,,,10003.0,0.0,"[('10004.0', '1'), ('10002.0', '1')]",-0.0002999100269919,0.0,-0.0002999100269919,-0.0001999400179946,-0.0002999100269919,-7045.381888,-6951.659520000001
0,600,AMETHYSTS,9996.0,2.0,9995.0,24.0,,,10002.0,9.0,10004.0,2.0,10005.0,24.0,9999.0,0.0,[],0.0001000100010001,0.0001000100010001,0.0001000100010001,-0.0002500250025002,0.0001000100010001,-231.22913280000012,23833.004288
0,700,AMETHYSTS,9998.0,7.0,9995.0,27.0,,,10005.0,27.0,,,,,10001.5,0.0,[],-4.999250112483127e-05,-0.0001499775033744,-4.999250112483127e-05,0.0,-0.0002499625056241,19858.862520320003,86346.60257280001
0,800,AMETHYSTS,9995.0,26.0,,,,,10005.0,26.0,,,,,10000.0,0.0,[],0.0,0.0,0.00015,0.00035,0.0,87868.91751219201,47805.96154368
0,900,AMETHYSTS,9996.0,2.0,9995.0,27.0,,,10004.0,2.0,10005.0,27.0,,,10000.0,0.0,[],0.0,0.0,0.0003,0.0,0.0,-43229.84949268481,-67365.223073792
0,1000,AMETHYSTS,9996.0,2.0,9995.0,26.0,,,10004.0,2.0,10005.0,26.0,,,10000.0,0.0,[],0.0003,-0.0001,0.0,0.0,0.0,-25937.909695610884,-40419.1338442752
0,1100,AMETHYSTS,9996.0,2.0,9995.0,23.0,,,10004.0,2.0,10005.0,23.0,,,10000.0,0.0,[],0.0,0.0,0.0,-0.0001,0.0001,-15562.745817366529,-24251.48030656512
0,1200,AMETHYSTS,9998.0,9.0,9996.0,2.0,9995.0,28.0,10004.0,2.0,10005.0,28.0,,,10001.0,0.0,[],-9.999000099990002e-05,-9.999000099990002e-05,-0.0001999800019998,0.0001999800019998,-9.999000099990002e-05,18658.352509580083,-14550.888183939072
0,1300,AMETHYSTS,9996.0,1.0,9995.0,27.0,,,10004.0,1.0,10005.0,27.0,,,10000.0,0.0,[],0.0,0.0,0.0,0.0,0.0,-20799.38849425195,-12732.132910363443
0,1400,AMETHYSTS,9996.0,2.0,9995.0,24.0,,,10004.0,2.0,10005.0,24.0,,,10000.0,0.0,[],0.0,0.0001,0.0,0.0001,0.0,-8481.23309655117,-3637.6797462180657
0,1500,AMETHYSTS,10002.0,1.0,9996.0,2.0,9995.0,20.0,10004.0,2.0,10005.0,20.0,,,10003.0,0.0,"[('10002.0', '1')]",-0.0003998800359892,-0.0002999100269919,-0.0003998800359892,-0.0001999400179946,-0.0002999100269919,-9084.739857930701,-2182.6078477308392
0,1600,AMETHYSTS,9996.0,1.0,9995.0,22.0,,,10004.0,1.0,10005.0,22.0,,,10000.0,0.0,[],0.0,0.0,-0.00035,0.0,0.00035,-5453.24391475842,-5311.164708638504
