day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,trades,ret_5,ret_10,ret_20,ret_100,ret_200
-1,0,AMETHYSTS,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10003.0,0.0,"[('10004.0', '1')]",-0.00044986504048785366,-0.00029991002699190244,-0.0005998200539838049,-0.00029991002699190244,-0.00044986504048785366
-1,100,AMETHYSTS,9996,2,9995.0,22.0,,,10004,2,10005.0,22.0,,,10000.0,0.0,[],0.00025,0.0,-0.0001,-0.0001,0.0003
-1,200,AMETHYSTS,9995,20,,,,,10005,20,,,,,10000.0,0.0,[],0.0,-0.00035,0.0001,0.0,-0.00035
-1,300,AMETHYSTS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,0.0,[],0.0,0.0003,0.0001,0.00015,0.0
-1,400,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,0.0,[],0.0,0.0,0.0,0.0003,-0.0002
-1,500,AMETHYSTS,9995,30,,,,,10002,4,10005.0,30.0,,,9998.5,0.0,[],0.00015002250337550632,0.00015002250337550632,0.00015002250337550632,0.00025003750562584387,0.00035005250787618143
-1,600,AMETHYSTS,10000,5,9995.0,25.0,,,10005,25,,,,,10002.5,0.0,[],-0.00024993751562109475,-0.00024993751562109475,-0.00024993751562109475,-0.0004498875281179705,-0.00024993751562109475
-1,700,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,0.0,[],-0.00035,-0.0001,0.00015,0.00015,0.00035
-1,800,AMETHYSTS,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,0.0,[],0.0003,0.0003,0.0,0.0001,0.0
-1,900,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0,[],0.0,0.0,0.0,0.0,0.0
-1,1000,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,0.0,[],0.0,-0.0003,0.00015,-0.00015,0.0
-1,1100,AMETHYSTS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0,"[('9996.0', '2')]",0.0,-0.0001,0.0,0.00015,0.0
-1,1200,AMETHYSTS,9995,21,,,,,9998,1,10005.0,21.0,,,9996.5,0.0,[],0.0002500875306357225,0.0004501575551443005,0.0003501225428900115,0.0002500875306357225,0.0
-1,1300,AMETHYSTS,10002,1,9996.0,1.0,9995.0,30.0,10004,1,10005.0,30.0,,,10003.0,0.0,[],0.0,-0.00019994001799460162,-0.00029991002699190244,-0.00029991002699190244,-0.00039988003598920324
-1,1400,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0,[],0.0,0.0,0.0,0.0,0.0
-1,1500,AMETHYSTS,9995,27,,,,,10005,27,,,,,10000.0,0.0,[],-0.0003,0.0,0.0,-0.0001,0.0
-1,1600,AMETHYSTS,9995,29,,,,,10005,29,,,,,10000.0,0.0,[],-0.0001,0.0,-0.00035,-0.0001,0.0003
-1,1700,AMETHYSTS,9996,2,9995.0,20.0,,,10002,1,10004.0,2.0,10005.0,20.0,9999.0,0.0,"[('10002.0', '1')]",0.00020002000200020003,0.00025002500250025,0.00040004000400040005,0.00010001000100010001,0.00020002000200020003
-1,1800,AMETHYSTS,10002,1,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,,,10003.0,0.0,"[('10002.0', '1')]",-0.00019994001799460162,-0.00029991002699190244,-0.00039988003598920324,-0.00039988003598920324,-0.00029991002699190244
-1,1900,AMETHYSTS,9996,1,9995.0,28.0,,,10004,1,10005.0,28.0,,,10000.0,0.0,[],0.0,0.0,0.0001,0.0,0.0003
-1,2000,AMETHYSTS,9996,2,9995.0,24.0,,,9998,1,10004.0,2.0,10005.0,24.0,9997.0,0.0,"[('9998.0', '1')]",0.00030009002700810244,0.00045013504051215364,0.00030009002700810244,0.0006501950585175553,0.00030009002700810244
-1,2100,AMETHYSTS,9996,2,9995.0,25.0,,,10002,3,10004.0,2.0,10005.0,25.0,9999.0,0.0,[],0.00010001000100010001,0.00010001000100010001,0.00010001000100010001,0.00010001000100010001,0.0
-1,2200,AMETHYSTS,9998,8,9996.0,1.0,9995.0,24.0,10004,1,10005.0,24.0,,,10001.0,0.0,[],4.999500049995001e-05,-9.999000099990002e-05,-0.00019998000199980003,-9.999000099990002e-05,0.0
-1,2300,AMETHYSTS,9998,7,9996.0,2.0,9995.0,30.0,10004,2,10005.0,30.0,,,10001.0,0.0,[],-9.999000099990002e-05,-9.999000099990002e-05,-0.00044995500449955,0.0,-9.999000099990002e-05
-1,2400,AMETHYSTS,9995,29,,,,,10005,29,,,,,10000.0,0.0,[],0.0,0.0,0.0,0.0,-0.0003
-1,2500,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0,[],0.00015,0.0,-0.0001,0.0,0.0
-1,2600,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,0.0,[],0.0,-0.00035,-0.0001,0.0,0.0002
-1,2700,AMETHYSTS,9998,6,9995.0,26.0,,,10005,26,,,,,10001.5,0.0,[],-0.00014997750337449384,0.00014997750337449384,-0.00014997750337449384,-0.00014997750337449384,-0.00014997750337449384
-1,2800,AMETHYSTS,9995,25,,,,,10005,25,,,,,10000.0,0.0,[],0.0,-0.0001,0.0001,0.0,-0.0003
-1,2900,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0,"[('9996.0', '1'), ('9996.0', '11')]",0.0,0.0001,-0.00015,-0.0001,-0.0001
-1,3000,AMETHYSTS,9998,1,9995.0,26.0,,,10005,26,,,,,10001.5,0.0,"[('10005.0', '1')]",-0.00014997750337449384,-0.00014997750337449384,-4.999250112483127e-05,0.0001999700044993251,-0.00014997750337449384
-1,3100,AMETHYSTS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0,"[('9996.0', '2')]",-0.00035,0.0,0.0,0.0,0.00015
-1,3200,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0,"[('9996.0', '1'), ('9996.0', '1')]",0.0003,-0.0001,0.0001,0.00015,0.0001
-1,3300,AMETHYSTS,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,0.0,[],-0.0001,-0.00035,0.0,0.0,0.0
-1,3400,AMETHYSTS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0,[],0.0001,0.0,0.0,0.0,0.0
-1,3500,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,0.0,[],0.0,-0.0001,0.0,0.0,0.0001
-1,3600,AMETHYSTS,9995,21,,,,,9998,4,10005.0,21.0,,,9996.5,0.0,[],0.0003501225428900115,0.0002500875306357225,0.0003501225428900115,0.000200070024508578,0.0003501225428900115
-1,3700,AMETHYSTS,10002,1,9996.0,1.0,9995.0,23.0,10004,1,10005.0,23.0,,,10003.0,0.0,"[('10002.0', '1')]",-0.00039988003598920324,-0.00029991002699190244,-0.00014995501349595122,-0.0005998200539838049,0.0
-1,3800,AMETHYSTS,9996,2,9995.0,23.0,,,10002,10,10004.0,2.0,10005.0,23.0,9999.0,0.0,"[('9996.0', '1')]",-0.00025002500250025,0.00020002000200020003,0.00010001000100010001,0.00010001000100010001,0.00010001000100010001
-1,3900,AMETHYSTS,9998,1,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10001.0,0.0,[],-9.999000099990002e-05,-0.00024997500249975,-9.999000099990002e-05,-0.00029997000299970003,-9.999000099990002e-05
