day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,trades,ret_5,ret_10,ret_20,ret_100,ret_200,alpha_buy_diff,alpha_sell_diff
-1,0,AMETHYSTS,10002.0,1.0,9996.0,2.0,9995.0,29.0,10004.0,2.0,10005.0,29.0,,,10003.0,0.0,"[('10004.0', '1')]",-0.0004498650404878,-0.0002999100269919,-0.0005998200539838,-0.0002999100269919,-0.0004498650404878,4000.8,8003.200000000001
-1,100,AMETHYSTS,9996.0,2.0,9995.0,22.0,,,10004.0,2.0,10005.0,22.0,,,10000.0,0.0,[],0.00025,0.0,-0.0001,-0.0001,0.0003,6396.48,4801.92
-1,200,AMETHYSTS,9995.0,20.0,,,,,10005.0,20.0,,,,,10000.0,0.0,[],0.0,-0.00035,0.0001,0.0,-0.00035,75801.088,74917.952
-1,300,AMETHYSTS,9996.0,2.0,9995.0,29.0,,,10004.0,2.0,10005.0,29.0,,,10000.0,0.0,[],0.0,0.0003,0.0001,0.00015,0.0,-26482.547199999994,-27086.0288
-1,400,AMETHYSTS,9996.0,2.0,9995.0,25.0,,,10004.0,2.0,10005.0,25.0,,,10000.0,0.0,[],0.0,0.0,0.0,0.0003,-0.0002,-15889.528319999996,-16251.617279999999
-1,500,AMETHYSTS,9995.0,30.0,,,,,10002.0,4.0,10005.0,30.0,,,9998.5,0.0,[],0.0001500225033755,0.0001500225033755,0.0001500225033755,0.0002500375056258,0.0003500525078761,102409.48300800001,-1750.9703679999984
-1,600,AMETHYSTS,10000.0,5.0,9995.0,25.0,,,10005.0,25.0,,,,,10002.5,0.0,[],-0.000249937515621,-0.000249937515621,-0.000249937515621,-0.0004498875281179,-0.000249937515621,-38494.3101952,82996.2177792
-1,700,AMETHYSTS,9995.0,23.0,,,,,10005.0,23.0,,,,,10000.0,0.0,[],-0.00035,-0.0001,0.00015,0.00015,0.00035,48857.413882880006,41793.73066752
-1,800,AMETHYSTS,9996.0,1.0,9995.0,29.0,,,10004.0,1.0,10005.0,29.0,,,10000.0,0.0,[],0.0003,0.0003,0.0,0.0001,0.0,-58641.151670272004,-62968.16159948801
-1,900,AMETHYSTS,9996.0,1.0,9995.0,22.0,,,10004.0,1.0,10005.0,22.0,,,10000.0,0.0,[],0.0,0.0,0.0,0.0,0.0,-35184.6910021632,-37780.89695969281
-1,1000,AMETHYSTS,9995.0,26.0,,,,,10005.0,26.0,,,,,10000.0,0.0,[],0.0,-0.0003,0.00015,-0.00015,0.0,78838.78539870208,77381.86182418432
-1,1100,AMETHYSTS,9996.0,2.0,9995.0,24.0,,,10004.0,2.0,10005.0,24.0,,,10000.0,0.0,"[('9996.0', '2')]",0.0,-0.0001,0.0,0.00015,0.0,-48647.92876077876,-49619.68290548941
-1,1200,AMETHYSTS,9995.0,21.0,,,,,9998.0,1.0,10005.0,21.0,,,9996.5,0.0,[],0.0002500875306357,0.0004501575551443,0.00035012254289,0.0002500875306357,0.0,46772.44274353274,-33775.80974329365
-1,1300,AMETHYSTS,10002.0,1.0,9996.0,1.0,9995.0,30.0,10004.0,1.0,10005.0,30.0,,,10003.0,0.0,[],0.0,-0.0001999400179946,-0.0002999100269919,-0.0002999100269919,-0.0003998800359892,-51893.73435388037,-20263.085845976188
-1,1400,AMETHYSTS,9996.0,1.0,9995.0,25.0,,,10004.0,1.0,10005.0,25.0,,,10000.0,0.0,[],0.0,0.0,0.0,0.0,0.0,-31138.64061232822,-12157.851507585712
-1,1500,AMETHYSTS,9995.0,27.0,,,,,10005.0,27.0,,,,,10000.0,0.0,[],-0.0003,0.0,0.0,-0.0001,0.0,85264.41563260308,96757.68909544859
-1,1600,AMETHYSTS,9995.0,29.0,,,,,10005.0,29.0,,,,,10000.0,0.0,[],-0.0001,0.0,-0.00035,-0.0001,0.0003,59154.649379561844,66058.61345726915
-1,1700,AMETHYSTS,9996.0,2.0,9995.0,20.0,,,10002.0,1.0,10004.0,2.0,10005.0,20.0,9999.0,0.0,"[('10002.0', '1')]",0.0002000200020002,0.0002500250025002,0.0004000400040004,0.0001000100010001,0.0002000200020002,-72452.41037226291,-72422.03192563853
-1,1800,AMETHYSTS,10002.0,1.0,9996.0,1.0,9995.0,22.0,10004.0,1.0,10005.0,22.0,,,10003.0,0.0,"[('10002.0', '1')]",-0.0001999400179946,-0.0002999100269919,-0.0003998800359892,-0.0003998800359892,-0.0002999100269919,-47467.44622335774,-43452.41915538311
-1,1900,AMETHYSTS,9996.0,1.0,9995.0,28.0,,,10004.0,1.0,10005.0,28.0,,,10000.0,0.0,[],0.0,0.0,0.0001,0.0,0.0003,-28482.867734014646,-26071.451493229866
-1,2000,AMETHYSTS,9996.0,2.0,9995.0,24.0,,,9998.0,1.0,10004.0,2.0,10005.0,24.0,9997.0,0.0,"[('9998.0', '1')]",0.0003000900270081,0.0004501350405121,0.0003000900270081,0.0006501950585175,0.0003000900270081,-13091.320640408789,-15645.270895937918
-1,2100,AMETHYSTS,9996.0,2.0,9995.0,25.0,,,10002.0,3.0,10004.0,2.0,10005.0,25.0,9999.0,0.0,[],0.0001000100010001,0.0001000100010001,0.0001000100010001,0.0001000100010001,0.0,-7854.792384245273,-1383.9625375627493
-1,2200,AMETHYSTS,9998.0,8.0,9996.0,1.0,9995.0,24.0,10004.0,1.0,10005.0,24.0,,,10001.0,0.0,[],4.999500049995001e-05,-9.999000099990002e-05,-0.0001999800019998,-9.999000099990002e-05,0.0,19283.92456945284,-8831.17752253765
-1,2300,AMETHYSTS,9998.0,7.0,9996.0,2.0,9995.0,30.0,10004.0,2.0,10005.0,30.0,,,10001.0,0.0,[],-9.999000099990002e-05,-9.999000099990002e-05,-0.0004499550044995,0.0,-9.999000099990002e-05,7571.154741671702,-1297.106513522589
-1,2400,AMETHYSTS,9995.0,29.0,,,,,10005.0,29.0,,,,,10000.0,0.0,[],0.0,0.0,0.0,0.0,-0.0003,92490.29284500303,107276.53609188645
-1,2500,AMETHYSTS,9996.0,1.0,9995.0,22.0,,,10004.0,1.0,10005.0,22.0,,,10000.0,0.0,[],0.00015,0.0,-0.0001,0.0,0.0,-56449.42429299819,-47690.47834486814
-1,2600,AMETHYSTS,9995.0,23.0,,,,,10005.0,23.0,,,,,10000.0,0.0,[],0.0,-0.00035,-0.0001,0.0,0.0002,54085.94542420109,59430.11299307912
-1,2700,AMETHYSTS,9998.0,6.0,9995.0,26.0,,,10005.0,26.0,,,,,10001.5,0.0,[],-0.0001499775033744,0.0001499775033744,-0.0001499775033744,-0.0001499775033744,-0.0001499775033744,-35507.23274547935,47664.06779584747
